timestamp,zone_id,node_id,tilt_x_deg,tilt_y_deg,displacement_mm,strain_ue,vibration_amp,risk_level
2026-03-01 08:00:00,Zone A,NODE_A1,0.0151,0.0226,0.824,93.79,0.002,Normal
2026-03-01 08:00:00,Zone A,NODE_B1,0.0606,0.0122,0.465,107.77,0.003,Normal
2026-03-01 08:00:00,Zone B,NODE_C1,1.1677,0.5,5.395,230.32,0.1294,Warning
2026-03-01 08:00:01,Zone A,NODE_A1,-0.0155,-0.0531,0.814,93.94,0.0033,Normal
2026-03-01 08:00:01,Zone A,NODE_B1,0.003,-0.0612,0.618,87.19,0.0173,Normal
2026-03-01 08:00:01,Zone B,NODE_C1,1.0184,0.8471,6.597,278.8,0.119,Warning
2026-03-01 08:00:02,Zone A,NODE_A1,-0.0544,-0.0523,0.585,111.29,0.002,Normal
2026-03-01 08:00:02,Zone A,NODE_B1,0.0094,-0.0171,0.284,85.04,0.0265,Normal
2026-03-01 08:00:02,Zone B,NODE_C1,1.1963,0.5,9.084,236.53,0.1462,Warning
2026-03-01 08:00:03,Zone A,NODE_A1,0.0583,0.0348,0.399,92.43,0.0298,Normal
2026-03-01 08:00:03,Zone A,NODE_B1,-0.0061,-0.0583,0.335,112.63,0.0327,Normal
2026-03-01 08:00:03,Zone B,NODE_C1,1.4799,0.9297,7.34,262.67,0.2569,Warning
2026-03-01 08:00:04,Zone A,NODE_A1,0.064,-0.1,0.698,99.57,0.0057,Normal
2026-03-01 08:00:04,Zone A,NODE_B1,-0.0037,-0.0035,0.816,88.67,0.0039,Normal
2026-03-01 08:00:04,Zone B,NODE_C1,0.8738,0.7398,10.15,261.53,0.1535,Warning
2026-03-01 08:00:05,Zone A,NODE_A1,0.0237,0.0342,0.424,92.1,0.0039,Normal
2026-03-01 08:00:05,Zone A,NODE_B1,0.0251,-0.0039,0.508,72.52,0.002,Normal
2026-03-01 08:00:05,Zone B,NODE_C1,0.9825,0.8148,9.23,316.05,0.1887,Warning
2026-03-01 08:00:06,Zone A,NODE_A1,0.0125,-0.072,0.545,99.08,0.002,Normal
2026-03-01 08:00:06,Zone A,NODE_B1,0.0525,0.0498,0.544,76.96,0.0637,Normal
2026-03-01 08:00:06,Zone B,NODE_C1,1.4203,1.0158,9.927,218.21,0.2501,Warning
2026-03-01 08:00:07,Zone A,NODE_A1,0.0025,0.0386,0.372,87.81,0.002,Normal
2026-03-01 08:00:07,Zone A,NODE_B1,-0.0186,-0.0782,0.635,81.45,0.0414,Normal
2026-03-01 08:00:07,Zone B,NODE_C1,1.5344,0.6781,7.924,278.52,0.1185,Warning
2026-03-01 08:00:08,Zone A,NODE_A1,0.0603,-0.0617,0.583,102.68,0.0062,Normal
2026-03-01 08:00:08,Zone A,NODE_B1,0.0439,0.016,0.595,104.24,0.0154,Normal
2026-03-01 08:00:08,Zone B,NODE_C1,1.1825,0.6933,11.862,266.63,0.1204,Warning
2026-03-01 08:00:09,Zone A,NODE_A1,-0.011,0.0307,0.759,83.23,0.0157,Normal
2026-03-01 08:00:09,Zone A,NODE_B1,0.0928,-0.0021,0.414,81.99,0.0542,Normal
2026-03-01 08:00:09,Zone B,NODE_C1,0.8721,0.9114,9.993,250.51,0.2527,Warning
2026-03-01 08:00:10,Zone A,NODE_A1,0.0999,0.0066,0.396,78.72,0.0423,Normal
2026-03-01 08:00:10,Zone A,NODE_B1,0.0118,0.0246,0.635,96.69,0.0497,Normal
2026-03-01 08:00:10,Zone B,NODE_C1,0.8635,0.5173,7.701,280.04,0.1907,Warning
2026-03-01 08:00:11,Zone A,NODE_A1,-0.0089,-0.0214,0.391,100.77,0.0143,Normal
2026-03-01 08:00:11,Zone A,NODE_B1,-0.0288,0.0037,0.651,117.49,0.0067,Normal
2026-03-01 08:00:11,Zone B,NODE_C1,1.3957,0.9639,9.43,268.1,0.3726,Warning
2026-03-01 08:00:12,Zone A,NODE_A1,0.0612,0.0348,0.667,92.33,0.0071,Normal
2026-03-01 08:00:12,Zone A,NODE_B1,0.0082,0.008,0.967,64.39,0.0051,Normal
2026-03-01 08:00:12,Zone B,NODE_C1,0.9685,1.0902,8.622,212.35,0.1442,Warning
2026-03-01 08:00:13,Zone A,NODE_A1,-0.002,0.0112,0.558,86.27,0.0117,Normal
2026-03-01 08:00:13,Zone A,NODE_B1,-0.024,-0.0737,0.703,83.73,0.002,Normal
2026-03-01 08:00:13,Zone B,NODE_C1,1.0686,0.9618,10.065,208.07,0.1633,Warning
2026-03-01 08:00:14,Zone A,NODE_A1,-0.0224,0.0423,0.623,75.3,0.0465,Normal
2026-03-01 08:00:14,Zone A,NODE_B1,0.1,0.0445,0.277,89.28,0.0066,Normal
2026-03-01 08:00:14,Zone B,NODE_C1,1.225,1.0212,6.838,248.0,0.08,Warning
2026-03-01 08:00:15,Zone A,NODE_A1,-0.0193,-0.0742,0.844,72.26,0.0151,Normal
2026-03-01 08:00:15,Zone A,NODE_B1,-0.0114,0.0595,0.552,80.33,0.002,Normal
2026-03-01 08:00:15,Zone B,NODE_C1,1.2302,0.8662,7.814,254.07,0.2131,Warning
2026-03-01 08:00:16,Zone A,NODE_A1,-0.0016,0.0964,0.199,95.27,0.0487,Normal
2026-03-01 08:00:16,Zone A,NODE_B1,0.0316,-0.02,0.513,89.13,0.028,Normal
2026-03-01 08:00:16,Zone B,NODE_C1,0.9359,1.0378,9.15,225.85,0.225,Warning
2026-03-01 08:00:17,Zone A,NODE_A1,0.0446,0.0182,0.401,87.92,0.0208,Normal
2026-03-01 08:00:17,Zone A,NODE_B1,0.0137,0.0343,0.444,107.85,0.0293,Normal
2026-03-01 08:00:17,Zone B,NODE_C1,1.0443,1.0325,9.973,295.8,0.1811,Warning
2026-03-01 08:00:18,Zone A,NODE_A1,0.0128,0.015,0.527,99.75,0.015,Normal
2026-03-01 08:00:18,Zone A,NODE_B1,-0.0133,-0.0406,0.758,112.25,0.0235,Normal
2026-03-01 08:00:18,Zone B,NODE_C1,1.0976,0.6536,8.645,226.41,0.2288,Warning
2026-03-01 08:00:19,Zone A,NODE_A1,-0.0218,-0.0242,0.624,87.85,0.0144,Normal
2026-03-01 08:00:19,Zone A,NODE_B1,-0.0028,-0.0216,0.592,71.93,0.0251,Normal
2026-03-01 08:00:19,Zone B,NODE_C1,0.707,0.693,8.125,261.0,0.2538,Warning
2026-03-01 08:00:20,Zone A,NODE_A1,0.0216,0.0065,0.37,97.67,0.002,Normal
2026-03-01 08:00:20,Zone A,NODE_B1,0.0155,-0.0447,0.643,125.59,0.0491,Normal
2026-03-01 08:00:20,Zone B,NODE_C1,1.2944,0.7628,8.913,250.57,0.1849,Warning
2026-03-01 08:00:21,Zone A,NODE_A1,-0.0046,-0.008,0.811,115.27,0.0091,Normal
2026-03-01 08:00:21,Zone A,NODE_B1,0.0339,0.0841,0.405,82.89,0.0093,Normal
2026-03-01 08:00:21,Zone B,NODE_C1,0.9333,0.6842,8.781,262.09,0.2738,Warning
2026-03-01 08:00:22,Zone A,NODE_A1,0.0088,-0.0224,0.639,74.24,0.0405,Normal
2026-03-01 08:00:22,Zone A,NODE_B1,0.0879,0.0102,0.242,122.37,0.0526,Normal
2026-03-01 08:00:22,Zone B,NODE_C1,1.0692,1.1235,5.641,229.16,0.1803,Warning
2026-03-01 08:00:23,Zone A,NODE_A1,-0.0048,0.0127,0.358,95.44,0.0462,Normal
2026-03-01 08:00:23,Zone A,NODE_B1,-0.0151,-0.0495,0.78,103.98,0.011,Normal
2026-03-01 08:00:23,Zone B,NODE_C1,0.8917,1.1107,8.633,322.27,0.2678,Warning
2026-03-01 08:00:24,Zone A,NODE_A1,0.039,0.0076,0.796,80.63,0.0022,Normal
2026-03-01 08:00:24,Zone A,NODE_B1,0.0608,-0.0578,0.337,61.29,0.0352,Normal
2026-03-01 08:00:24,Zone B,NODE_C1,1.522,0.8676,11.443,201.85,0.0948,Warning
2026-03-01 08:00:25,Zone A,NODE_A1,0.0223,-0.0123,0.178,96.4,0.0151,Normal
2026-03-01 08:00:25,Zone A,NODE_B1,-0.0156,-0.0207,0.359,96.87,0.0165,Normal
2026-03-01 08:00:25,Zone B,NODE_C1,1.3688,0.7347,7.085,246.41,0.1282,Warning
2026-03-01 08:00:26,Zone A,NODE_A1,-0.043,0.0477,0.556,85.4,0.031,Normal
2026-03-01 08:00:26,Zone A,NODE_B1,0.0103,-0.0135,0.661,111.64,0.0031,Normal
2026-03-01 08:00:26,Zone B,NODE_C1,1.0244,0.5,5.785,298.0,0.2622,Warning
