timestamp,strain_microstrain,tilt_deg,vibration_g,displacement_mm,node1_tilt_x,node1_tilt_y,node2_tilt_x,node2_tilt_y,node3_tilt_x,node3_tilt_y,node1_tilt_resultant,node2_tilt_resultant,node3_tilt_resultant,transient_accel_g,rms_vibration_g,anomaly_score,sensor_status,zone_id,hazard_zone
2026-03-01 00:20:20,73.51,0.155,0.0354,1.055,-0.001,0.004,0.151,0.033,-0.021,0.013,0.004,0.155,0.025,0.0033,0.0354,0.1521,NOMINAL,0,ZONE_A
2026-03-01 03:04:46,171.46,0.163,0.0558,0.954,0.029,-0.025,0.139,0.086,-0.012,0.0,0.038,0.163,0.012,0.002,0.0558,0.2533,NOMINAL,0,ZONE_A
2026-03-01 04:34:32,370.78,2.24,0.3261,3.935,0.589,0.296,2.012,0.986,0.19,0.127,0.659,2.24,0.229,0.1779,0.3261,0.6634,CAUTION,1,ZONE_B
2026-03-01 04:56:40,514.62,2.675,0.3102,6.375,0.436,0.299,2.425,1.128,0.235,0.043,0.529,2.675,0.239,0.2076,0.3102,0.4609,CAUTION,1,ZONE_B
2026-03-01 03:33:48,477.98,1.782,0.3695,5.516,0.601,0.554,1.439,1.05,0.184,0.205,0.817,1.782,0.275,0.1862,0.3695,0.4913,CAUTION,1,ZONE_B
2026-03-01 00:52:50,100.05,0.171,0.0229,1.054,0.021,0.023,0.165,0.041,-0.019,0.034,0.031,0.171,0.039,0.0112,0.0229,0.2868,NOMINAL,0,ZONE_A
2026-03-01 00:10:30,185.03,0.137,0.0321,1.59,-0.0,-0.03,0.114,0.075,0.017,0.031,0.03,0.137,0.035,0.002,0.0321,0.1384,NOMINAL,0,ZONE_A
2026-03-01 03:28:14,681.7,2.397,0.4114,4.245,0.562,0.422,2.057,1.231,0.177,0.1,0.703,2.397,0.204,0.1765,0.4114,0.5923,CAUTION,1,ZONE_B
2026-03-01 01:08:58,183.96,0.159,0.0547,0.77,0.048,0.013,0.146,0.063,-0.02,0.02,0.05,0.159,0.028,0.0108,0.0547,0.3017,NOMINAL,0,ZONE_A
2026-03-01 06:21:04,476.07,2.246,0.3872,4.28,0.51,0.246,1.867,1.249,0.227,0.053,0.566,2.246,0.233,0.1025,0.3872,0.3749,CAUTION,1,ZONE_B
2026-03-01 08:06:06,777.07,6.528,2.0838,14.472,1.162,2.302,4.868,4.349,1.04,0.815,2.579,6.528,1.322,1.4283,2.0838,0.8186,CRITICAL,2,ZONE_C
2026-03-01 07:55:16,1278.22,5.439,1.722,19.643,2.62,1.769,3.42,4.229,1.267,0.408,3.162,5.439,1.331,0.7296,1.722,0.7991,CRITICAL,2,ZONE_C
2026-03-01 06:35:02,605.62,2.277,0.2666,7.278,0.552,0.234,1.901,1.253,0.201,0.083,0.599,2.277,0.218,0.08,0.2666,0.4603,CAUTION,1,ZONE_B
2026-03-01 03:00:46,134.34,0.19,0.0265,1.295,0.026,-0.016,0.168,0.088,-0.015,0.013,0.031,0.19,0.02,0.002,0.0265,0.0618,NOMINAL,0,ZONE_A
