strain_microstrain,tilt_deg,vibration_g,displacement_mm,node1_tilt_resultant,node2_tilt_resultant,node3_tilt_resultant,transient_accel_g,rms_vibration_g,anomaly_score,zone_id,hazard_zone
73.51,0.155,0.0354,1.055,0.004,0.155,0.025,0.0033,0.0354,0.1521,0,ZONE_A
171.46,0.163,0.0558,0.954,0.038,0.163,0.012,0.002,0.0558,0.2533,0,ZONE_A
370.78,2.24,0.3261,3.935,0.659,2.24,0.229,0.1779,0.3261,0.6634,1,ZONE_B
514.62,2.675,0.3102,6.375,0.529,2.675,0.239,0.2076,0.3102,0.4609,1,ZONE_B
477.98,1.782,0.3695,5.516,0.817,1.782,0.275,0.1862,0.3695,0.4913,1,ZONE_B
100.05,0.171,0.0229,1.054,0.031,0.171,0.039,0.0112,0.0229,0.2868,0,ZONE_A
185.03,0.137,0.0321,1.59,0.03,0.137,0.035,0.002,0.0321,0.1384,0,ZONE_A
681.7,2.397,0.4114,4.245,0.703,2.397,0.204,0.1765,0.4114,0.5923,1,ZONE_B
183.96,0.159,0.0547,0.77,0.05,0.159,0.028,0.0108,0.0547,0.3017,0,ZONE_A
476.07,2.246,0.3872,4.28,0.566,2.246,0.233,0.1025,0.3872,0.3749,1,ZONE_B
777.07,6.528,2.0838,14.472,2.579,6.528,1.322,1.4283,2.0838,0.8186,2,ZONE_C
1278.22,5.439,1.722,19.643,3.162,5.439,1.331,0.7296,1.722,0.7991,2,ZONE_C
605.62,2.277,0.2666,7.278,0.599,2.277,0.218,0.08,0.2666,0.4603,1,ZONE_B
134.34,0.19,0.0265,1.295,0.031,0.19,0.02,0.002,0.0265,0.0618,0,ZONE_A
470.26,2.373,0.2889,3.19,0.719,2.373,0.121,0.187,0.2889,0.3696,1,ZONE_B
853.75,7.601,1.6666,15.68,2.874,7.601,1.418,0.9694,1.6666,0.9254,2,ZONE_C
420.32,2.716,0.4242,5.784,0.343,2.716,0.162,0.1389,0.4242,0.5755,1,ZONE_B
454.4,1.904,0.4123,5.171,0.639,1.904,0.228,0.08,0.4123,0.6062,1,ZONE_B
1005.98,7.043,1.1635,14.835,4.2,7.043,1.084,0.8363,1.1635,0.9485,2,ZONE_C
